信息编号,书名,评论数,推荐比例,作者,出版日期,出版社,评分次数,价格
1,艾莉诺好极了（英美畅销榜榜单图书，感动40国读者，全球88个版本...,27634,100%,（英）盖尔·霍尼曼（Gail Honeyman），未读 出品,2018-10-01,北京联合出版有限公司,10068,"19.90
元"
2,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,38975,99.8%,帕特里克·金 著，邹鑫/何丹妮 译,2016-08-01,天津人民出版社,26043,"24.00
元"
3,三千年前那朵静夜的莲开（白落梅2019年新作，细品《诗经》之美）,7248,100%,"白落梅 著,博集天卷 出品",2019-04-05,湖南文艺出版社,4136,"27.90
元"
4,子弹笔记（INS爆红，YouTube千万点赞的超级笔记术）,40945,99.9%,（美）赖德·卡罗尔 著，未读 出品,2018-12-01,北京联合出版有限公司,5961,"48.80
元"
5,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更...,18512,99.9%,[美]丹·马里兰 著，胡彭/吴晓菲/王一晴 译,2018-08-01,天津人民出版社,15425,"41.00
元"
6,身边的自然课系列套装：大自然的十万个为什么（套装共5册）,3899,100%,"［韩］王立分 著, ［韩］宋英旭 绘 ,［韩］崔在天 ,校 刘春云 译",2019-04-01,河北科技出版社,3321,"137.30
元"
7,呐喊——大屠杀回忆录（二战犹太大屠杀幸存者自述——一部震撼人...,18581,100%,曼尼·斯坦伯格 著，张佳敏 余林杰 译,2017-04-01,天津人民出版社,13805,"26.40
元"
8,裂（万物皆有裂痕，那是光进来的地方。）,11537,99.9%,孙频 著 联合读创 出品,2019-01-01,北京联合出版有限公司,3274,"16.80
元"
9,文案变现：写出有效文案的四个黄金步骤,12148,100%,叶小鱼 著 时代华语 出品,2019-01-04,东方出版中心,2368,"37.30
元"
10,摆渡人3无境之爱（千万畅销心灵治愈小说“摆渡人”系列完结篇，令...,19946,100%,克莱儿·麦克福尔，白马时光 出品,2019-04-01,百花洲文艺出版社,10779,"43.70
元"
11,烧烤怪谈（微博大V@鬼叔悬疑烧脑小说集）,9848,99.9%,蔡必贵 著，凤凰联动 出品,2019-03-01,江苏凤凰文艺出版社,3858,"32.40
元"
12,黄金降落伞（风靡欧美的重磅情感推理小说，获美国“国家畅销书”...,10803,99.9%,丽芙·康斯坦丁，白马时光 出品,2019-04-01,百花洲文艺出版社,3056,"28.10
元"
13,当仓央嘉措遇见纳兰容若,11083,99.9%,随园散人,2019-02-20,湖南人民出版社,6768,"30.90
元"
14,外贸业务流程全攻略,2353,100%,王莹,2018-08-01,电子工业出版社,2008,"33.70
元"
15,为爱独行（三个北京女孩的真实生活）,6165,100%,姜丹迪,2018-04-01,华文出版社,5770,"38.10
元"
16,人鱼公司（星爷《美人鱼》美国版，比《延禧攻略》更精彩的“复仇...,4602,100%,[美]卡罗林·米克尔森 著，湖丽婷/周梓瑶 译,2018-08-01,天津人民出版社,4387,"25.20
元"
17,神奇校车·桥梁书版（全20册）,699962,99.9%,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,2014-04-01,贵州人民出版社,11961,"147.00
元"
18,人生海海（莫言盛赞！董卿、高晓松反复阅读，杨洋、李健倾力推荐...,60082,100%,麦家  著 ，新经典  出品,2019-04-16,北京十月文艺出版社,11425,"52.80
元"
19,林清玄清欢三卷（50年散文创作里程碑式代表作）,6488,100%,林清玄  著，新经典  出品,2018-11-01,北京十月文艺出版社,3747,"147.80
元"
20,神奇校车·图画书版（全12册，新增《科学博览会》1册）,1046738,100%,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",2018-05-10,贵州人民出版社,8634,"136.60
元"
